,calories,carbo,cups,fat,fiber,potass,protein,sodium,sugars,vitamins,weight,best_kmeans_cluster
28,120,14.0,0.67,0,5.0,190.0,3,240,12.0,25,1.33,7
29,110,13.0,0.75,1,0.0,25.0,1,135,12.0,25,1.0,1
30,100,11.0,0.88,0,0.0,40.0,2,45,15.0,25,1.0,1
31,110,15.0,0.75,1,0.0,45.0,1,280,9.0,25,1.0,1
32,100,15.0,0.88,1,3.0,85.0,3,140,5.0,25,1.0,2
33,110,17.0,0.25,0,3.0,90.0,3,170,3.0,25,1.0,2
34,120,13.0,0.33,3,3.0,100.0,3,75,4.0,25,1.0,0
35,120,12.0,1.0,2,1.0,45.0,1,220,11.0,25,1.0,1
36,110,11.5,0.75,1,1.5,90.0,3,250,10.0,25,1.0,2
37,110,14.0,1.33,0,0.0,35.0,1,180,11.0,25,1.0,1
38,110,17.0,1.0,1,1.0,60.0,2,170,6.0,100,1.0,3
39,140,20.0,0.75,1,2.0,95.0,3,170,9.0,100,1.3,3
40,110,21.0,1.5,1,0.0,40.0,2,260,3.0,25,1.0,6
41,100,12.0,0.67,2,2.0,95.0,4,150,6.0,25,1.0,0
42,110,12.0,1.0,1,0.0,55.0,2,180,12.0,25,1.0,1
43,100,16.0,1.0,1,0.0,95.0,4,0,3.0,25,1.0,5
44,150,16.0,1.0,3,3.0,170.0,4,95,11.0,25,1.0,7
45,150,16.0,1.0,3,3.0,170.0,4,150,11.0,25,1.0,7
46,160,17.0,0.67,2,3.0,160.0,3,150,13.0,25,1.5,7
47,100,15.0,1.0,1,2.0,90.0,2,220,6.0,25,1.0,2
48,120,15.0,0.67,1,0.0,40.0,2,190,9.0,25,1.0,1
49,140,21.0,0.67,2,3.0,130.0,3,220,7.0,25,1.33,7
50,90,18.0,1.0,0,3.0,90.0,3,170,2.0,25,1.0,2
51,130,13.5,0.5,2,1.5,120.0,3,170,10.0,25,1.25,7
52,120,11.0,0.67,1,6.0,260.0,3,200,14.0,25,1.33,7
53,100,20.0,1.0,0,1.0,45.0,3,320,3.0,100,1.0,3
54,50,13.0,1.0,0,0.0,15.0,1,0,0.0,0,0.5,5
55,50,10.0,1.0,0,1.0,50.0,2,0,0.0,0,0.5,5
56,100,14.0,0.5,1,2.0,110.0,4,135,6.0,25,1.0,0
57,100,,0.67,2,2.7,110.0,5,0,,0,1.0,0
58,120,14.0,0.75,1,5.0,240.0,3,210,12.0,25,1.33,7
59,100,10.5,0.5,2,2.5,140.0,3,140,8.0,25,1.0,0
60,90,15.0,0.5,0,2.0,110.0,2,0,6.0,25,1.0,5
61,110,23.0,1.13,0,0.0,30.0,1,240,2.0,25,1.0,6
62,110,22.0,1.0,0,0.0,35.0,2,290,3.0,25,1.0,6
63,80,16.0,1.0,0,3.0,95.0,2,0,0.0,0,0.83,5
64,90,19.0,0.67,0,4.0,140.0,3,0,0.0,0,1.0,5
65,90,20.0,0.67,0,3.0,120.0,3,0,0.0,0,1.0,5
66,110,9.0,0.75,1,1.0,40.0,2,70,15.0,25,1.0,1
67,110,16.0,1.0,0,1.0,55.0,6,230,3.0,25,1.0,2
68,90,15.0,1.0,0,3.0,90.0,2,15,5.0,25,1.0,5
69,110,21.0,1.0,1,0.0,35.0,2,200,3.0,100,1.0,3
70,140,15.0,1.0,1,4.0,230.0,3,190,14.0,100,1.5,3
71,100,16.0,1.0,1,3.0,110.0,3,200,3.0,100,1.0,3
72,110,21.0,0.75,1,0.0,60.0,2,250,3.0,25,1.0,6
73,110,13.0,1.0,1,0.0,25.0,1,140,12.0,25,1.0,1
74,100,17.0,0.67,1,3.0,115.0,3,230,3.0,25,1.0,2
75,100,17.0,1.0,1,3.0,110.0,3,200,3.0,25,1.0,2
76,110,16.0,0.75,1,1.0,60.0,2,200,8.0,25,1.0,1
